sentence	sentence_id	locale	reason
Die Prva liga wird vom serbischen Fußball-Bund organisiert und durchgeführt.	002d425417030f055de3fd6236ea2075f89a88856b831c768334bf0106d4c9f2	de	difficult-pronounce
Sie wurde am von den Nürnbergern erobert und niedergebrannt.	00489a3bbcc2950b34a0f8f33be4ffb1cf87702ec66d4858d36c71314bde4fc2	de	Da fehlt zwischen "am" und "von": "8. Juli 1504"
Dies führte zu einem verstärken Wettrennen zwischen Kanada und den Vereinigten Staaten.	004f50a3ffc0c26c3f2eefc5caf8e876e7a96d590a9173ffc61d19c4a85dcf40	de	grammar-or-spelling
Als Xiahou Yuan am Berg Qi ankam, hatte Zhang He Ma Chao bereits besiegt.	0032a5f7e4dc5abc8cc03efc7894f3ba613962eabaeb3a9d3929e1ba7aee2965	de	different-language
Passavant &amp; Cie.	00acfce0ba8d08f7acc99f668e87e69be680e52a32edda22bed68d713f936fef	de	difficult-pronounce
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	different-language
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	grammar-or-spelling
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	Einige Schriftzeichen nicht in der deutschen Sprache vorhanden
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	different-language
Weiß-Rot-Weiß Kleve bei, wo gerade eine Mädchenmannschaft aufgebaut wurde.	00c2c3dbd5f06c3a93eef0d249c397d7bb6f1f607c8c9c475a0f6cf8b6ab2b59	de	grammar-or-spelling
Die Ansiedlung verfügt über eine Tankstelle, ein Dorfladen und ein kleines Hotel.	00b21bac3c9d1096cb2410e3cf69eb9d36803722d17a246d219dc3baea286c4e	de	grammar-or-spelling
שבא נע Schwa Na`, dt.	0021ec4c7f442ac7b9da1138bae24ae6c3249a072eba50cde65995cf8a1e27cd	de	different-language
